,Main_Topic,Adorescore,Adorescore,Adorescore,Adorescore,Sentiment_Score,Sentiment_Score,High_Activation_Emotions,Medium_Activation_Emotions,Low_Activation_Emotions
,,mean,median,std,count,mean,median,<lambda>,<lambda>,<lambda>
0,Customer Support Response,1.1466666666666665,1.5733333333333333,7.788769693175767,3,0.7685,0.6808,[''],[''],['']
1,Damaged During Shipping,-7.404242424242423,-14.138333333333332,18.315845719627706,22,0.3503181818181818,0.57735,[''],[''],['']
2,Defective Item,-10.294533333333334,-17.171666666666667,18.122847895113097,100,0.21881899999999999,0.3715,[''],[''],['']
3,Durability,21.706666666666667,24.626666666666665,10.944100930875281,16,0.86664375,0.8895500000000001,[''],[''],['']
4,Expensive Product,7.6656209150326795,14.660000000000002,20.106901562401085,51,0.6032039215686275,0.8442,[''],[''],['']
5,Fake or Counterfeit Product,5.143529411764706,6.02,20.294900189401325,34,0.5006529411764706,0.6696500000000001,[''],[''],['']
6,Fast Delivery,19.81706349206349,23.776666666666664,13.815151420877667,42,0.7375928571428572,0.86415,[''],[''],['']
7,General Feedback,12.495133333333333,14.406666666666666,16.90452751292902,50,0.648464,0.8125,[''],[''],['']
8,Late Delivery,10.983333333333334,20.10666666666667,25.569664535234804,3,0.9579333333333334,0.9682,[''],[''],['']
9,Packaging Issue,10.262539682539682,16.153333333333332,18.46902614002283,21,0.5784238095238096,0.8625,[''],[''],['']
10,Product Quality,15.630065359477124,19.986666666666665,15.898987454414184,204,0.8128583333333333,0.90445,[''],[''],['']
11,Refund & Returns,5.412,7.366666666666667,20.731656845403254,10,0.53773,0.6974,[''],[''],['']
12,Replacement Process,-1.6843589743589744,-2.873333333333333,20.385510122007567,13,0.805176923076923,0.836,[''],[''],['']
13,Trust in Brand,20.791296296296295,28.48,12.135673828284997,18,0.9204444444444445,0.9928,[''],[''],['']
14,Value for Money,18.047412935323383,22.68666666666667,14.599822193668945,402,0.7964547263681592,0.8934,[''],[''],['']
15,Wrong Item Sent,2.693157894736842,1.0466666666666666,24.37086895601417,19,0.43842105263157893,0.791,[''],[''],['']
