Score,Time,Summary,Text,Sentiment,Cleaned_Text,Processed_Text,Detected_Emotions,Activation_Levels,Confidence_Scores,Sentiment_Score,Sub_Topic,Main_Topic,Adorescore
5,2011-04-27,Good Quality Dog Food,I have bought several of the Vitality canned dog food products and have found them all to be of good quality. The product looks more like a stew than a processed meat and it smells better. My Labrador is finicky and she appreciates this product better than  most.,Positive,i have bought several of the vitality canned dog food products and have found them all to be of good quality the product looks more like a stew than a processed meat and it smells better my labrador is finicky and she appreciates this product better than most,bought several vitality canned dog food product found good quality product look like stew processed meat smell better labrador finicky appreciates product better,"neutral, joy, disgust","Low, Low, Low","0.497, 0.383, 0.044",0.9413,"dog, food, balance, natural, cocker, love, allergy, puppy, spaniel, breed",Value for Money,11.74
1,2012-09-07,Not as Advertised,"Product arrived labeled as Jumbo Salted Peanuts...the peanuts were actually small sized unsalted. Not sure if this was an error or if the vendor intended to represent the product as ""Jumbo"".",Negative,product arrived labeled as jumbo salted peanuts the peanuts were actually small sized unsalted not sure if this was an error or if the vendor intended to represent the product as jumbo,product arrived labeled jumbo salted peanut peanut actually small sized unsalted sure error vendor intended represent product jumbo,"neutral, surprise, sadness","High, Low, Low","0.85, 0.099, 0.028",-0.1027,General Feedback,Wrong Item Sent,1.0466666666666666
4,2008-08-18,"""Delight"" says it all","This is a confection that has been around a few centuries.  It is a light, pillowy citrus gelatin with nuts - in this case Filberts. And it is cut into tiny squares and then liberally coated with powdered sugar.  And it is a tiny mouthful of heaven.  Not too chewy, and very flavorful.  I highly recommend this yummy treat.  If you are familiar with the story of C.S. Lewis' ""The Lion, The Witch, and The Wardrobe"" - this is the treat that seduces Edmund into selling out his Brother and Sisters to the Witch.",Positive,this is a confection that has been around a few centuries it is a light pillowy citrus gelatin with nuts in this case filberts and it is cut into tiny squares and then liberally coated with powdered sugar and it is a tiny mouthful of heaven not too chewy and very flavorful i highly recommend this yummy treat if you are familiar with the story of c s lewis the lion the witch and the wardrobe this is the treat that seduces edmund into selling out his brother and sisters to the witch,confection around century light pillowy citrus gelatin nut case filbert cut tiny square liberally coated powdered sugar tiny mouthful heaven chewy flavorful highly recommend yummy treat familiar story c lewis lion witch wardrobe treat seduces edmund selling brother sister witch,"joy, neutral, surprise","High, Low, Low","0.919, 0.06, 0.009",0.8624,General Feedback,Value for Money,30.813333333333333
2,2011-06-13,Cough Medicine,If you are looking for the secret ingredient in Robitussin I believe I have found it.  I got this in addition to the Root Beer Extract I ordered (which was good) and made some cherry soda.  The flavor is very medicinal.,Negative,if you are looking for the secret ingredient in robitussin i believe i have found it i got this in addition to the root beer extract i ordered which was good and made some cherry soda the flavor is very medicinal,looking secret ingredient robitussin believe found got addition root beer extract ordered good made cherry soda flavor medicinal,"neutral, joy, surprise","Medium, Low, Low","0.747, 0.115, 0.063",0.4404,General Feedback,Value for Money,5.093333333333333
5,2012-10-21,Great taffy,"Great taffy at a great price.  There was a wide assortment of yummy taffy.  Delivery was very quick.  If your a taffy lover, this is a deal.",Positive,great taffy at a great price there was a wide assortment of yummy taffy delivery was very quick if your a taffy lover this is a deal,great taffy great price wide assortment yummy taffy delivery quick taffy lover deal,"joy, neutral, surprise","High, Low, Low","0.877, 0.083, 0.03",0.9468,General Feedback,Value for Money,29.83333333333333
4,2012-07-12,Nice Taffy,"I got a wild hair for taffy and ordered this five pound bag. The taffy was all very enjoyable with many flavors: watermelon, root beer, melon, peppermint, grape, etc. My only complaint is there was a bit too much red/black licorice-flavored pieces (just not my particular favorites). Between me, my kids, and my husband, this lasted only two weeks! I would recommend this brand of taffy -- it was a delightful treat.",Positive,i got a wild hair for taffy and ordered this five pound bag the taffy was all very enjoyable with many flavors watermelon root beer melon peppermint grape etc my only complaint is there was a bit too much red black licorice flavored pieces just not my particular favorites between me my kids and my husband this lasted only two weeks i would recommend this brand of taffy it was a delightful treat,got wild hair taffy ordered five pound bag taffy enjoyable many flavor watermelon root beer melon peppermint grape etc complaint bit much red black licorice flavored piece particular favorite kid husband lasted two week would recommend brand taffy delightful treat,"joy, neutral, surprise","High, Low, Low","0.921, 0.043, 0.025",0.9136,General Feedback,Durability,31.200000000000003
5,2012-06-20,Great!  Just as good as the expensive brands!,"This saltwater taffy had great flavors and was very soft and chewy.  Each candy was individually wrapped well.  None of the candies were stuck together, which did happen in the expensive version, Fralinger's.  Would highly recommend this candy!  I served it at a beach-themed party and everyone loved it!",Positive,this saltwater taffy had great flavors and was very soft and chewy each candy was individually wrapped well none of the candies were stuck together which did happen in the expensive version fralinger s would highly recommend this candy i served it at a beach themed party and everyone loved it,saltwater taffy great flavor soft chewy candy individually wrapped well none candy stuck together happen expensive version fralinger would highly recommend candy served beach themed party everyone loved,"joy, neutral, surprise","High, Low, Low","0.959, 0.024, 0.009",0.9463,General Feedback,Expensive Product,32.14666666666667
5,2012-05-03,"Wonderful, tasty taffy",This taffy is so good.  It is very soft and chewy.  The flavors are amazing.  I would definitely recommend you buying it.  Very satisfying!!,Positive,this taffy is so good it is very soft and chewy the flavors are amazing i would definitely recommend you buying it very satisfying,taffy good soft chewy flavor amazing would definitely recommend buying satisfying,"joy, neutral, surprise","High, Low, Low","0.92, 0.051, 0.018",0.9313,General Feedback,Value for Money,31.02666666666667
5,2011-11-23,Yay Barley,Right now I'm mostly just sprouting this so my cats can eat the grass. They love it. I rotate it around with Wheatgrass and Rye too,Positive,right now i m mostly just sprouting this so my cats can eat the grass they love it i rotate it around with wheatgrass and rye too,right mostly sprouting cat eat grass love rotate around wheatgrass rye,"neutral, joy, surprise","High, Low, Low","0.768, 0.153, 0.043",0.6369,"cat, food, felidae, holistic, old, dry, year, much, vet, eat",Replacement Process,5.96
5,2012-10-26,Healthy Dog Food,This is a very healthy dog food. Good for their digestion. Also good for small puppies. My dog eats her required amount at every feeding.,Positive,this is a very healthy dog food good for their digestion also good for small puppies my dog eats her required amount at every feeding,healthy dog food good digestion also good small puppy dog eats required amount every feeding,"neutral, joy, disgust","Low, Low, Low","0.47, 0.452, 0.031",0.8176,"dog, food, balance, natural, cocker, love, allergy, puppy, spaniel, breed",Value for Money,14.343333333333334
5,2005-02-08,The Best Hot Sauce in the World,"I don't know if it's the cactus or the tequila or just the unique combination of ingredients, but the flavour of this hot sauce makes it one of a kind!  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away!  When we realized that we simply couldn't find it anywhere in our city we were bummed.<br /><br />Now, because of the magic of the internet, we have a case of the sauce and are ecstatic because of it.<br /><br />If you love hot sauce..I mean really love hot sauce, but don't want a sauce that tastelessly burns your throat, grab a bottle of Tequila Picante Gourmet de Inclan.  Just realize that once you taste it, you will never want to use any other sauce.<br /><br />Thank you for the personal, incredible service!",Positive,i don t know if it s the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind we picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away when we realized that we simply couldn t find it anywhere in our city we were bummed br br now because of the magic of the internet we have a case of the sauce and are ecstatic because of it br br if you love hot sauce i mean really love hot sauce but don t want a sauce that tastelessly burns your throat grab a bottle of tequila picante gourmet de inclan just realize that once you taste it you will never want to use any other sauce br br thank you for the personal incredible service,know cactus tequila unique combination ingredient flavour hot sauce make one kind picked bottle trip brought back home u totally blown away realized simply find anywhere city bummed br br magic internet case sauce ecstatic br br love hot sauce mean really love hot sauce want sauce tastelessly burn throat grab bottle tequila picante gourmet de inclan realize taste never want use sauce br br thank personal incredible service,"surprise, joy, neutral","Medium, Low, Low","0.648, 0.313, 0.016",0.9595,"sauce, hot, bottle, salsa, soy, make, meat, flavor, br, good",Product Quality,23.39333333333333
5,2005-02-08,The Best Hot Sauce in the World,"I don't know if it's the cactus or the tequila or just the unique combination of ingredients, but the flavour of this hot sauce makes it one of a kind!  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away!  When we realized that we simply couldn't find it anywhere in our city we were bummed.<br /><br />Now, because of the magic of the internet, we have a case of the sauce and are ecstatic because of it.<br /><br />If you love hot sauce..I mean really love hot sauce, but don't want a sauce that tastelessly burns your throat, grab a bottle of Tequila Picante Gourmet de Inclan.  Just realize that once you taste it, you will never want to use any other sauce.<br /><br />Thank you for the personal, incredible service!",Positive,i don t know if it s the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind we picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away when we realized that we simply couldn t find it anywhere in our city we were bummed br br now because of the magic of the internet we have a case of the sauce and are ecstatic because of it br br if you love hot sauce i mean really love hot sauce but don t want a sauce that tastelessly burns your throat grab a bottle of tequila picante gourmet de inclan just realize that once you taste it you will never want to use any other sauce br br thank you for the personal incredible service,know cactus tequila unique combination ingredient flavour hot sauce make one kind picked bottle trip brought back home u totally blown away realized simply find anywhere city bummed br br magic internet case sauce ecstatic br br love hot sauce mean really love hot sauce want sauce tastelessly burn throat grab bottle tequila picante gourmet de inclan realize taste never want use sauce br br thank personal incredible service,"surprise, joy, neutral","Medium, Low, Low","0.648, 0.313, 0.016",0.9595,"sauce, hot, bottle, salsa, soy, make, meat, flavor, br, good",Product Quality,23.39333333333333
